,obvod,dĺžka,druh,farba
,"4,2","10,4",zvýrazňovač,fialová
,"2,7","16,8",tenká fixka,modrá
,"3,3","14,6",pero,modrá
,"3,7","16,2",fixka,žltá
,"2,7","16,8",tenká fixka,zelená
,"2,7","16,8",tenká fixka,modrá
,"2,7","16,8",tenká fixka,tyrkysová
,"2,7","16,8",tenká fixka,žltá
,"2,7","16,8",tenká fixka,fialová
,"2,7","16,8",tenká fixka,bordová
,"2,7","16,8",tenká fixka,rúžová
,"2,7","16,8",tenká fixka,hnedá
,"2,7","16,8",tenká fixka,oranžová
,"4,3","14,2",pero,rúžová
,"4,3","14,2",pero,oranžová
,"3,6","14,1",fixka,hnedá
,"3,7","13,9",pero,modrá
,"2,5","16,5",farbička,zelená
,"3,8","15,2",pero,čierna
,40,"13,7",fixka,čierna
,40,"14,6",pero,modrá
,"3,2","16,5",ceruzka,sivá
,"3,4","15,2",pero,modrá
,"2,5","16,5",farbička,modrá
,"3,4","15,2",pero,modrá
,"3,4","15,2",pero,modrá
,"3,4","15,2",pero,modrá
,"3,4","15,2",pero,modrá
,"3,8","15,2",pero,čierna
,"3,8","15,2",pero,čierna
,"3,8","15,2",pero,čierna
,"3,8","13,9",pero,modrá
,"3,9","13,5",zvýrazňovač,žltá
,"2,8","17,2",ceruzka,sivá
,"2,8",14,pero,čierna
,"2,8",14,pero,čierna
,"2,8",14,pero,čierna
,"2,8",14,pero,čierna
,"2,8",14,pero,čierna
,"3,5","14,4",pero,modrá
,"5,5","14,9",pero,modrá
,"3,9","13,5",zvýrazňovač,zelená
,"3,9","13,5",zvýrazňovač,rúžová
,"5,2","13,6",fixka,čierna
,"2,5",19,ceruzka,sivá
,"2,7","15,7",ceruzka,sivá
,"2,7",16,farbička,oranžová
,"3,9","13,5",zvýrazňovač,oranžová
,30,"14,1",pero,čierna
,40,"13,5",pero,červená
,40,"13,5",pero,zelená
,"3,8","13,5",pero,modrá
,"5,2",13,fixka,zelená
,"2,4",14,pero,zelená
,"3,1",14,fixka,modrá
,30,"15,5",pero,modrá
,"2,7","12,7",ceruzka,sivá
,"3,6","13,4",pero,modrá
,"3,6","13,6",pero,čierna
,"3,5","14,2",pero,modrá
,50,"14,8",pero,čierna
,"3,6","13,7",pero,modrá
,"3,6","13,7",pero,modrá
,"3,6","13,7",pero,modrá
,"3,6","17,7",pero,čierna
,"3,6","17,7",pero,čierna
,"3,6","17,7",pero,čierna
,"3,6","17,7",pero,čierna
,"3,6","17,7",pero,čierna
,"2,8","14,5",farbička,zelená
,40,"13,5",pero,modrá
,"3,3","13,1",pero,čierna
,"2,8","14,5",farbička,žltá
,"2,8","14,5",farbička,rúžová
,"2,8","14,5",farbička,červená
,"2,8","14,5",farbička,čierna
,"2,8","14,5",farbička,sivá
,"2,8","14,5",farbička,oranžová
,"2,8","14,5",farbička,biela
,"2,8","14,5",farbička,hnedá
,"2,8","14,5",farbička,modrá
,30,"13,9",pero,modrá
,"4,5","14,9",pero,modrá
,"2,5",17,ceruzka,sivá
,"3,7","15,6",pentelka,sivá
,"4,4","13,2",zvýrazňovač,zelená
,"3,3","14,1",pero,červená
,30,"12,9",pero,modrá
,"3,9","13,3",pentelka,sivá
,"3,4","13,7",pero,modrá
,"2,8","13,7",pero,modrá
,"3,5","13,2",pero,modrá
,40,"13,5",pero,čierna
,"3,4","17,5",farbička,rôznofarebná
,"2,8","14,9",ceruzka,sivá
,"2,9","13,7",fixka,žltá
,"4,1","13,2",pero,zelená
,"4,1","13,2",pero,červená
,"3,5",16,pero,modrá
,"3,1","13,4",pero,modrá
,"3,7","13,1",pero,čierna